source_id,parallax,bp_rp,abs_phot_g_mag,dist_arcsec,ra,ra_error,dec,dec_error,radius_val,teff_val
6197011365679426688,44.596691515556294,3.3375702,13.022910910092431,22.423188044144,225.0466562620929,0.12136808013806863,-41.04943040281904,0.08143160529549931,,3687.0898
3545594119594716160,44.5947230290374,2.5291185,10.012468647083416,22.424177841599334,170.1923047352845,0.054480474357267855,-19.652725858512753,0.04632060208487092,,3825.9575
1821741611601805440,44.59187938456179,1.0390854,15.260181547478275,22.42560784164238,301.27106022794123,0.28694994853504435,17.319148418079685,0.2143986727096071,,5095.6333
2020269710322076928,44.59087428961574,1.6600075,18.46913986541507,22.42611332321148,294.4802711247383,1.3763644703790467,23.556720157654485,1.1604115489156073,,
5958896763903980544,44.58761738432049,2.8867178,11.483056535105952,22.427751440059144,263.419355631393,0.11695445136326693,-42.92818740047952,0.11395619845024682,,3656.6667
4265416241727232896,44.58693234067183,,18.456113344186107,22.428096025072534,283.75155484856157,1.241432268698903,-0.5639597261446442,1.5012689278666176,,
5342789374656153088,44.580726959293614,1.2458153,6.235989655626867,22.431217887341624,172.64149721330733,0.058181011117801544,-57.13371856636829,0.10107425937769675,0.7790506,4757.35
2549518150551364864,44.58041095206599,1.183434,5.966072033939624,22.431376890518706,11.270176162585965,0.050867105298083526,1.783054731085086,0.03613534195621506,0.82199955,4885.5
4056504870649468160,44.57364242721524,,17.696421355233692,22.434783103779555,268.61105548257365,0.9825464203238757,-29.531790627748165,0.8895894219130455,,
2472557872820632320,44.57304119945432,0.5240431,13.397473341256351,22.435085717513086,13.959383025734143,0.028839874669392515,-11.456867067359672,0.021827402155747522,,6996.3237
3995235242243230208,44.570092928157,3.6799078,13.21713103563938,22.43656977812253,165.97291526675903,0.08532512143765891,24.29480123279675,0.07395559961195051,,3400.75
2769753357547997440,44.56941627647396,,15.132172417103433,22.436910409523392,357.4542995158625,0.13702536913476668,12.409833383355016,0.08566210860670982,,
2019504312771688832,44.56639380853204,2.499939,18.52817192834277,22.438432068258447,293.5592909907021,1.709663737178721,23.394519757717994,1.759899852891144,,
4711216151731910656,44.565920998563705,,14.309751750318522,22.438670122675767,24.42182626110206,0.16930058550465632,-64.44884822099802,0.08403376815994451,,
5883479539047399936,44.564713595138336,2.748352,10.6981483097765,22.439278059426194,232.19134717263842,0.03705258606088912,-56.69864849928847,0.03035786095579433,,3852.6775
3730679138144442496,44.564707036957074,4.652954,16.01078818034526,22.43928136160998,197.1054952025279,0.17332384103359805,7.429074954964917,0.13259160946778892,,
6519024545827374080,44.564562489400984,2.1360722,8.14607223661743,22.43935414462635,340.6562790683796,0.18953230658158596,-47.21335767605896,0.23402970396303324,0.5780465,3929.3
748118401712712320,44.560631269479245,2.1882439,10.642030690607308,22.441333785253764,157.16978199159067,0.03446698062922723,32.23934322962912,0.041549718048982553,,3816.2825
5459060117921483008,44.55860653125542,0.7623782,4.461088668107972,22.442353517014826,153.351133902517,0.01952790812876565,-33.03144088932782,0.026151329346054453,1.0247155,5981.0
4093177642194856064,44.556934019308514,,18.148139041848587,22.44319592471635,277.07446144661543,1.4571425127780813,-18.67592260483235,1.9167360853591902,,
5156623295621846016,44.55091766387769,4.454895,15.110669684086695,22.446226754399934,42.17067911473374,0.10372764255107765,-16.857389017258317,0.14496476651775814,,3297.5
2634902826245745664,44.55074121016705,2.5752726,10.455364757791866,22.446315657971304,345.44311406117885,0.05362521868906436,-6.239988823838429,0.049292364395292436,,3873.9167
4041514476960828928,44.548870302907034,,17.098221715582408,22.447258330022006,266.83792308341066,0.9445368967948081,-34.936952390378885,1.0049805683990158,,
5225268520968623744,44.54742448856771,2.2366133,9.705574068914181,22.447986869737708,173.56056839477807,0.02642321061714091,-74.47943084709027,0.02387198760500127,,3953.9724
3794485653330841984,44.546860323922914,2.895238,12.068826864756232,22.448271162737182,178.28407789124068,0.11424023576595917,-1.1211058939476666,0.052439430264536256,,3913.4797
2019410957369127680,44.545913599168436,2.023592,18.39118176216184,22.44874825103301,292.57709146051667,0.9134968974592856,22.858932416965292,1.2905846998994683,,
4495301445619547904,44.545231816334095,3.2870474,12.22096153069054,22.4490918382271,272.04861334974345,0.05020446111432557,11.577868071849034,0.05512963104514854,,3957.775
5853750020277043840,44.54155977744581,,18.175166370387338,22.45094255783927,214.32715497868273,1.2716717050102737,-63.458926764316224,1.387610164084647,,
2028372664348752896,44.53896922016268,2.7945423,18.807930774190005,22.45224839077108,298.57521218277145,1.6497728345537956,28.08979601449348,2.292561661922888,,
5336603419157376768,44.53414828065695,,18.713056894809792,22.454678906127008,172.29511969510799,1.1666045303943895,-58.55640733387453,2.2236448126351323,,
2019802933243501184,44.5330389691185,,19.00315821518747,22.455238248920118,292.31142848142184,0.9350437125571073,23.8317948681679,2.251732086448103,,
5334619419176460928,44.53018409810735,1.1398106,14.71157804081372,22.45667787487325,178.7184371053855,0.041564194784338475,-62.654699915493154,0.03683442932296176,,4993.5
822327052812586240,44.52930418825643,2.885436,10.979440367706703,22.457121624274713,149.94210439519247,0.026653319735083312,47.201949503191095,0.03228118006412741,,3937.0574
2155540255030594688,44.52746650115819,3.4902067,13.268770878878033,22.458048449129468,286.85297169456726,0.061405376298994244,59.08738730425492,0.07483569640599301,,3709.0
2058823329613661696,44.52505333537532,,18.908318796392347,22.459265628896986,302.56958333848416,1.063804136412548,35.256558413566815,1.90982878644395,,
1545795529110395136,44.52445747150893,1.9095335,8.03680593331499,22.459566197744174,183.78528356254571,0.03651317290921588,48.73234195784496,0.04300253367253617,0.5801087,3984.7124
2949559723859043456,44.52359438360742,2.6769686,11.000843696699231,22.460001575438337,104.6228455062468,0.03076737263184806,-12.99539466212493,0.03600358830550834,,3806.0203
2155540255030594560,44.5209321065296,2.5461102,9.482252622756,22.461344645866845,286.8540626932585,0.025246225913469686,59.086625400466964,0.027354913438905094,,3848.325
5730219785776085632,44.52024453875597,2.3751793,9.945691453268697,22.461691537419014,133.0393217417133,0.04186559250143133,-16.355731287867556,0.037420319324975686,,3910.11
4556066746008264192,44.51977250917128,3.5298042,13.164115161497728,22.46192969189129,265.8135888923812,0.03045008829729737,21.600171708807608,0.0522401506432296,,3532.505
3334997304542444032,44.51939774948547,2.9211483,11.066210796834254,22.4621187740923,87.10062035024248,0.0686204062897784,7.759576414875866,0.06541470484963217,,3662.285
